Word, DocumentID-Frequency of the word
deadlier, 16-1
deadly, 13-4 14-1 15-1 16-1
deafening, 13-1
deal, 1-4 2-5 3-1 4-2 8-1 9-10 10-11 11-6 12-5 14-1 16-2
dealing, 9-2 10-1 11-6 12-2
deals, 11-4 14-1
dealt, 9-1 14-1 16-1
dear, 1-18 2-3 3-4 4-4 5-4 6-1 7-4 8-2 13-7 14-6 15-6 16-4
dearer, 5-1 14-2
dearest, 6-1 13-1 15-1
dearly, 5-4 8-1 13-1 14-1 15-1
dears, 1-2 3-1
dearth, 9-1 10-2 15-1 16-2
death, 1-1 6-3 7-2 8-2 13-20 14-6 15-25 16-70
deathless, 16-2
deaths, 13-1 15-2 16-3
debar, 15-1
debased, 15-1 16-1
debate, 13-2 14-2 15-1
debility, 6-1
debt, 13-1 14-1
debtor, 6-1
dec, 10-2
decade, 9-2 10-1 11-1 12-2
decades, 9-1 12-1
decan, 15-1
decayed, 16-1
deceit, 14-1 15-1 16-1
deceivd, 13-1
deceive, 13-2 14-1 16-1
deceived, 5-1 8-1 13-1 15-2 16-5
december, 7-1
decencies, 15-1
decent, 13-1
deception, 15-1
decide, 9-1 10-1 11-2 12-2 14-1
decided, 1-1 3-1 4-1 9-2 11-1 12-1
decidedly, 2-2 3-2
deciding, 9-1 10-2 12-1
decision, 9-2 10-2 11-7 13-1
decisions, 9-2 11-6 12-1
deck, 14-1
decked, 14-2 15-1
declarations, 11-3
declare, 1-1 4-1 14-3 15-1 16-1
declared, 1-1 14-2 15-3 16-3
declares, 14-2
declarest, 14-1
declaring, 15-1
declicking, 11-1
decline, 14-2 16-1
declined, 14-1 16-1
decolumnating, 11-1
decompressed, 10-1
decompresses, 10-2
decompressing, 10-3
decompression, 10-5 12-2
decrease, 11-1 12-2
decreased, 12-1
decreases, 11-1
decree, 5-1 13-4 14-6 16-5
decreed, 13-3 15-1
decrees, 14-1 16-2
decrepit, 16-1
decs, 11-1
dedicated, 12-1
deed, 5-1 7-1 14-3 15-1 16-2
deeds, 6-1 13-9 14-11 16-9
deem, 14-1 15-1 16-1
deemd, 15-1
deemed, 9-1 11-1 13-3 15-2 16-1
deeming, 13-1
deep, 1-3 3-2 4-2 6-1 7-2 13-32 14-17 15-15 16-12
deeper, 9-1 13-1 16-2
deepest, 2-1 13-1 14-1
deeply, 1-1 3-2 4-1 10-1 11-1
deepwood, 12-1
deer, 5-2 7-1 8-2
deers, 8-1
defaced, 15-1 16-1
defaming, 14-1
default, 9-1 10-1 15-1
defeat, 11-1 13-1 14-1
defeated, 14-1 16-1
defeating, 16-1
defeats, 11-1
defect, 16-1
defective, 15-1
defects, 11-1 15-1
defence, 7-1 13-2 14-3 15-1
defenceless, 16-1
defend, 13-1 15-1 16-2
defended, 16-1
defends, 16-1
defensive, 14-1
defer, 15-1
defiance, 13-2 14-1 16-1
deficience, 15-1
deficiencies, 10-6 11-1 12-2
deficiency, 10-1
deficient, 10-1 15-1
defied, 8-1 13-1 14-2
defies, 8-1
define, 9-1 10-1 11-2 12-1
defined, 9-1 10-2 11-11 12-3
defines, 10-1 11-1 12-1
defining, 9-1 10-1 11-1 12-1
definite, 12-1
definitely, 9-1
definition, 10-2 11-4 12-1
definitions, 9-3 10-1 11-8 12-2
definitive, 9-1
deflowered, 15-1
deform, 13-1 16-1
deformed, 14-1
deformities, 16-1
defy, 12-1 13-1
degenerate, 11-2 16-1
degrade, 13-1
degraded, 15-1 16-1
degree, 8-1 11-2 14-2 15-5
degrees, 8-3 9-1 11-1 13-1 14-5 15-1 16-1
deified, 15-1
deify, 13-1
deifying, 7-1
deign, 15-2 16-1
deigned, 14-2 15-1
deigns, 14-1 15-1
deities, 13-2 14-1
deity, 13-1 14-3 15-4 16-3
dejection, 16-1
delay, 3-1 6-2 9-1 13-2 14-2 15-2 16-3
delayed, 11-1 14-1 15-1 16-1
delays, 13-1
delectable, 14-1 15-1
deleted, 10-1
delias, 15-2
deliberate, 13-1
deliberation, 13-1
delicacies, 15-1
delicacy, 14-1
delicate, 11-1 12-1
delicious, 13-1 14-5 15-3 16-1
deliciously, 15-1
delight, 1-1 2-2 5-1 13-6 14-8 15-16 16-5
delighted, 2-2 14-2 15-3
delightful, 4-2 9-1 13-1 14-4 15-1
delightfully, 16-1
delights, 8-1 14-3 15-1
delineate, 14-1
delineated, 9-1
deliver, 10-2 12-1 14-1 15-1
deliverance, 13-2 14-1 16-2
delivered, 9-2 10-2 11-1 12-1
deliverer, 14-1 16-2
delivery, 9-2 10-5 11-1 12-7
delos, 14-1 16-1
delphian, 13-1
delude, 16-2
deluge, 13-2 16-1
delusive, 15-1 16-1
demand, 9-1 10-7 11-1 12-3
demanding, 11-1
demands, 12-1
demeanour, 14-2 15-1 16-1
demi, 13-1 15-1
democracy, 9-1
demogorgon, 13-1
demographic, 9-1
demoniack, 16-1
demonstrable, 10-1
demonstrate, 10-1 12-1
demonstrated, 9-20 10-5 11-3 12-1
demonstrates, 12-2
demonstrating, 7-1
demonstration, 9-5 10-4 12-6
demonstrations, 10-1
demur, 13-1 15-1
den, 13-2 14-1 15-2
denial, 1-1
denied, 2-1 4-1 7-1 11-1 14-1 15-3
denies, 4-1 16-1
dennis, 5-6 11-2
denominator, 11-1
denounce, 16-1
denounced, 13-1 15-1 16-4
denouncing, 16-1
dens, 13-1 15-1
dense, 13-1
density, 10-3 11-1 12-1
deny, 4-2 5-1 8-1 14-1
denying, 2-1
depart, 8-1 14-1 15-1 16-3
departed, 11-1 14-1
departing, 16-2
department, 9-1 10-1 11-1 12-7
departments, 9-2 10-1
departs, 16-2
departure, 7-1 16-1
depend, 9-1 10-1 16-1
dependant, 15-1
dependent, 10-1 11-1
depending, 10-1
depends, 2-1 5-1 10-2 11-2 16-1
deplore, 15-1
deplored, 16-1
deploy, 12-1
deployed, 10-1
deployment, 12-1
depopulation, 16-1
deport, 15-1 16-1
deposit, 9-2 11-5 12-3
deposited, 9-1
depositor, 11-1
depository, 11-1 12-1
depravd, 13-1
depraved, 14-1 16-3
depravest, 14-1
deprecation, 15-1
depressd, 15-1
deprived, 15-1 16-1
deprives, 16-1
depth, 12-1 13-3 15-1
deputy, 12-2
derided, 14-1 16-1
derides, 13-1 15-1
derision, 3-1 14-2 16-1
derivative, 11-1 12-1
derive, 5-1 16-2
derived, 9-3 11-1 15-1 16-2
derives, 11-2
desart, 13-1 15-2 16-4
descant, 14-1
descend, 15-4 16-6
descended, 5-1 14-1 16-5
descending, 13-3 14-2 16-3
descends, 14-1 15-1 16-4
descent, 13-3 15-1 16-3
descents, 15-1
describe, 9-2 12-2 15-2
described, 9-8 10-17 11-8 12-4 14-1
describes, 9-2 11-2 12-1
describing, 11-1
descried, 13-1 15-1 16-1
descries, 13-1
description, 8-1 10-1 11-2 12-3
descriptions, 9-4
descriptive, 9-1 11-4 12-2
descriptors, 10-1
descry, 13-1 14-1 15-1 16-1
desert, 5-1 6-4 8-1 13-2 14-1
deserted, 14-1 15-1 16-1
deserts, 15-1
deserve, 5-1 13-1
deserved, 3-1 5-2 8-1 14-3 16-2
deserves, 7-1 8-2 14-1
deserving, 9-1 14-1 16-1
deservings, 16-1
desiderata, 9-1 11-1
desideratum, 11-3
design, 9-3 10-15 11-6 12-3 13-4 14-2 15-1
designed, 9-1 10-2 11-2 12-4 13-1 16-2
designers, 11-1
designing, 10-1 12-1 13-1
designs, 12-1 13-1 14-2
desirability, 11-2
desirable, 9-1 10-1 11-2 12-3 15-1
desire, 5-1 6-2 7-3 8-5 9-4 11-4 13-3 14-6 15-12 16-2
desired, 10-2 11-2 12-2
desires, 5-2 7-2 9-2 10-2 11-1 13-1 14-2 16-1
desirest, 16-2
desiring, 15-2
desirous, 5-1 14-1 15-1 16-2
desisting, 15-1
desk, 2-1 9-1
desks, 2-1 11-1
desktop, 9-1
desolate, 14-1 15-1 16-3
desolation, 7-1 13-1
despair, 1-1 13-7 14-4 15-1 16-5
despaired, 13-1 14-1
despairing, 15-1
desperate, 1-1 8-1 9-1 13-2
desperately, 2-1
despicable, 13-1 16-1
despise, 14-1 15-1
despised, 13-1 14-2 15-2
despiser, 6-1
despite, 5-1 6-1 11-1 14-1 15-2 16-2
despiteful, 8-1 16-1
despoild, 13-1
despoiled, 15-2
destination, 11-2
destined, 13-3 15-1 16-4
destinies, 5-1
destiny, 7-1 14-2
destitute, 15-1
destroy, 13-4 14-1 15-4 16-3
destroyed, 13-3 15-1 16-4
destroyer, 14-1
destroyers, 16-1
destroying, 15-2 16-1
destroys, 13-1 16-1
destruction, 13-5 14-3 15-3 16-4
detail, 10-1 11-1 12-1
detailed, 9-1 10-4 11-5 12-2
detailing, 10-1
details, 9-1 10-8
detain, 15-1 16-1
detaind, 5-1 13-1
detains, 16-1
detect, 7-1 16-1
detected, 11-1
detection, 12-1
deter, 13-1
deteriorated, 11-1 12-3
deteriorates, 10-1
deteriorating, 10-3 11-2 12-2
deterioration, 11-2
determination, 9-1
determine, 9-2 10-3 12-1 13-1 14-1 16-1
determined, 10-1 13-1 14-1 15-1
determines, 11-4
determining, 9-1 10-4 11-1 13-1
deterred, 15-1
detestable, 13-1
detriment, 15-1 16-1
detroit, 9-2 10-1
deucalion, 16-1
develop, 9-1 10-6 11-9 12-4
developed, 9-4 10-8 11-7 12-7
developer, 12-1
developers, 9-1 11-2 12-1
developing, 9-3 10-8 11-6 12-1
development, 9-8 10-15 11-10 12-24
developments, 10-4 12-1
develops, 11-4
device, 5-2 7-1 8-1 10-5 11-4
devices, 10-3 11-3 12-2
devil, 6-1 7-1 13-3 14-2 15-1 16-1
devilish, 13-1 14-6
devils, 13-1
devious, 13-1
devise, 5-3 8-1 14-1 15-2
devised, 6-1 9-1 13-1 14-1
devising, 14-1
devoid, 13-1
devolved, 16-1
devote, 9-1 13-1 15-1 16-1
devoted, 9-5 12-2 14-1
devotees, 10-1
devoting, 9-1 10-1 11-1
devotion, 15-1 16-1
devour, 13-2 14-1 16-1
devoured, 16-2
devouring, 14-1 16-1
devours, 16-1
devout, 16-2
dew, 14-4
dewed, 16-1
dews, 13-1 14-3 16-1
dewy, 13-1 14-2 15-2 16-1
dextrous, 14-1
dextrously, 16-1
diabolick, 15-1
diacritics, 12-1
diadem, 14-1
dial, 6-2 10-1
dialect, 14-1
dialogue, 9-1 12-1
diamond, 13-1 14-4
diamonds, 3-1
diana, 7-2
diary, 9-1
dictaean, 16-1
dictate, 15-1
dictates, 15-1
dictionaries, 11-4
dictionary, 9-6 11-3
dictum, 11-1
did, 1-14 2-15 3-23 4-11 5-14 6-10 7-9 8-20 9-5 10-6 11-11 12-5 13-9 15-2 16-10
didnt, 1-4 2-4 3-2 4-4
didst, 5-1 6-3 7-2 13-5 14-4 15-6 16-6
die, 4-1 5-1 6-7 7-3 8-3 11-1 13-6 14-2 15-8 16-8
died, 3-1 5-1 7-2 16-2
diego, 10-2
dierker, 12-1
dies, 5-1 6-1 7-1 13-2 15-1 16-4
diest, 5-1 6-1 8-1 15-1
diet, 14-1
dieted, 15-1
differ, 10-1 11-2
difference, 5-1 7-1 9-1 10-1 11-3 13-1
differences, 11-4
different, 1-1 2-3 3-1 4-4 9-10 10-15 11-22 12-16 13-1 15-3 16-2
differentiated, 10-1
differentiating, 10-2
differing, 14-1 15-1
differs, 5-1
difficult, 2-1 3-1 9-9 10-7 11-2 12-5 13-1 16-2
difficulties, 3-1 9-3 10-1 12-1
difficulty, 2-2 3-2 9-4 10-1 11-1 13-3 16-1
diffident, 15-2
diffusd, 13-1
diffuse, 15-1
diffused, 13-1 14-1 15-2
dig, 3-1
digest, 14-1
digestion, 14-1
digged, 13-1 14-1
digging, 1-3 3-1
digitai, 12-1
digital, 9-15 10-37 11-22 12-38
digitally, 11-1 12-1
digitization, 9-3
digitize, 9-2 10-1 11-1 12-1
digitized, 9-2 10-3 11-2 12-3
digitizing, 9-1 10-4 11-4 12-6
digits, 10-2
dignified, 15-1
dignities, 13-1
dignity, 8-1 13-2 14-2 15-1 16-1
digressions, 15-1
dilated, 13-1 14-2 15-1
dilemma, 9-1
diligently, 4-1
dim, 13-4 14-2 15-2 16-1
dimension, 11-3 13-1 15-1
dimensionless, 16-1
dimensions, 13-1
diminish, 8-1 15-1
diminished, 12-1 14-1
diminution, 15-1
dimly, 14-1
dimmed, 14-1 16-1
din, 13-2 14-1 16-2
dinah, 1-10 2-1
dinahll, 1-2
dinahs, 1-1
ding, 8-3
dining, 12-2
dinn, 4-2
dinner, 1-1 3-1 6-1 7-1 14-2
dinners, 6-1
dint, 13-1
dipped, 1-1 2-1
dipsas, 16-1
dipt, 14-1 16-1
dire, 10-1 13-9 14-4 15-3 16-7
direct, 8-4 9-3 10-1 11-2 12-3 13-5 14-4 15-4 16-3
directed, 4-2 9-1 13-1 14-1 15-1
direction, 1-1 2-4 9-1 10-3 11-1 12-1
directions, 1-1 2-1 3-1 11-2 12-2
directives, 12-1
directly, 1-1 2-1 10-7 12-3 13-1
director, 9-3 10-6 11-2 12-25
directories, 9-1
directors, 11-1
directory, 9-3 10-2 11-1 12-2
dis, 14-1
disable, 7-1
disabled, 8-1 16-1
disadvantage, 10-1 11-1 14-1
disadvantages, 10-2
disagree, 1-1 13-1
disappear, 12-1
disappeared, 3-1 4-1 14-1 15-1 16-1
disappointment, 1-1 10-1
disarmed, 13-1 14-1 15-1 16-1
disarrayed, 13-1
disastrous, 13-1
disband, 13-1
disburden, 15-1 16-1
disburdened, 15-1
disburthening, 14-1
disc, 11-1
discern, 9-1 13-2 14-1 15-2
discerned, 13-1 14-2 15-2 16-1
discernible, 10-1
discerning, 11-1 16-1
discerns, 13-1 14-1 15-1
discharge, 5-1 14-1 16-1
discharged, 14-1
disciples, 16-1
disciplinary, 12-1
discipline, 9-2 10-1 11-1 14-1
disciplined, 16-1
disciplines, 9-3 10-1 11-4
disclose, 14-1 15-1
disclosed, 10-1 15-2
discomposed, 14-1 16-1
disconsolate, 16-1
discontented, 14-1
discontinuous, 14-1
discord, 6-1 13-1 14-1 15-3 16-1
discountenanced, 15-1 16-1
discourse, 13-1 14-4 15-5 16-1
discover, 9-2 11-1 13-3 16-1
discovered, 9-3 10-1 14-2 16-2
discovering, 14-1
discovers, 13-1
discovery, 6-1
discreetest, 15-1
discrete, 11-1
discretion, 5-1
discursive, 14-1
discuss, 11-1 12-5
discussed, 9-8 10-10 11-6 12-6
discussing, 11-2 12-1
discussion, 9-27 10-20 11-23 12-14
discussions, 11-4 12-1
disdain, 7-1 13-1 14-3 15-1
disdained, 14-2 16-2
disdainful, 7-1 13-1
disdainfully, 14-1
disdaining, 15-1
diseased, 16-1
diseases, 8-1 16-1
disenthrone, 13-1
disespousd, 15-1
disfigured, 14-1
disfiguring, 16-1
disgorge, 6-1 13-1
disgorging, 14-1 16-2
disgrace, 5-2 6-1
disguise, 16-1
disguised, 5-1 11-1 13-2 15-1 16-1
disguises, 14-1
disgust, 3-1
dish, 2-1 4-3 7-1
disheartened, 14-1
dishes, 2-1 4-1
dishevelled, 14-1
dishonest, 8-1 14-1
dishonour, 15-3
dishonourable, 14-1
disincumbered, 14-1
disinherited, 16-1
disjoin, 13-1 15-1
disjoining, 14-1
disk, 9-10 10-14 11-4 12-3
disks, 9-2 10-3 11-1 12-1
dislike, 8-1 13-1 15-1 16-1
dislodge, 14-2
dislodged, 14-1
dislodging, 13-1
disloyal, 13-1 15-1
dismal, 13-3 14-2 15-2 16-3
dismay, 4-1 13-2 15-1 16-1
dismayed, 13-1 14-1 16-2
dismiss, 15-3 16-1
dismissed, 11-1 16-3
dismissing, 13-1
dismounted, 15-1
disobedience, 13-1 14-3 15-2
disobedient, 14-1
disobey, 4-1
disobeyed, 14-1
disobeying, 13-1
disobeys, 14-2
disorder, 13-1 14-1
disordered, 14-1 16-1
disparage, 13-1
disparate, 10-1
disparity, 15-1
disparted, 15-1 16-1
dispatch, 5-1 7-1 14-1 15-1
dispatchful, 14-1
dispelled, 13-1
dispels, 14-1
dispense, 14-1
dispensed, 14-2 16-1
dispenses, 13-2
dispeopled, 15-1
disperse, 13-1 14-1
dispersed, 14-3 16-2
displace, 13-1
display, 9-2 10-7 11-10 12-9
displayed, 13-1 15-2
displaying, 9-1
displays, 11-2
displeased, 15-2 16-3
displeasure, 5-1 15-1 16-2
displode, 14-1
disport, 15-2
disporting, 15-1
disposd, 13-1
dispose, 13-1 15-1 16-1
disposed, 7-1 14-1 16-1
disposer, 14-1
disposition, 5-2 6-2 7-1 8-1
dispossess, 14-1 16-1
dispossessed, 15-1
dispraise, 14-1 16-1
disproportions, 15-1
disputable, 6-1
dispute, 3-2 14-1 15-2
disputed, 9-1
disputes, 14-1 15-1 16-1
disrelish, 14-1 16-1
dissect, 15-1
dissembler, 13-1
dissembling, 7-1
disseminate, 9-2 11-3
disseminated, 9-1 11-1
disseminating, 9-1 10-3
dissemination, 9-8 10-11 11-3 12-3
disseminators, 12-1
dissent, 14-2 15-1
dissention, 16-1
dissimilar, 10-1
dissipation, 14-1
dissolute, 16-1
dissolution, 13-2 16-4
dissolve, 14-1 15-1 16-2
dissolved, 13-2
dissonance, 15-1
dissuade, 5-2 13-1 15-1
dissuades, 13-1
distance, 1-3 2-1 3-2 4-2 9-4 10-1 11-1 13-1 15-4 16-2
distances, 14-1
distant, 2-1 4-1 13-4 14-3 15-2 16-2
distaste, 15-1
distemper, 15-2 16-1
distempered, 14-1 15-1 16-1
distempers, 14-1
distended, 16-1
distends, 13-1
distilld, 6-1
distilled, 14-1
distinct, 9-1 12-3 15-4
distinction, 9-4 11-6 12-1 14-1
distinguish, 10-2 11-1 14-1
distinguishable, 13-1
distinguished, 9-1 10-2 11-1
distinguishes, 10-1
distinguishing, 10-2
distorted, 13-1
distortion, 11-1
distract, 14-1
distraction, 3-1
distress, 6-2 16-3
distribute, 10-2 12-2
distributed, 9-7 10-7 11-5 12-7
distributing, 10-4 11-2 12-1
distribution, 9-3 10-10 11-3 12-4
distributions, 9-1
distributive, 11-1
distributor, 11-1
district, 9-2
distrust, 12-1 15-1 16-1
disturb, 13-3 14-2 15-1
disturbance, 13-1
disturbances, 16-1
disturbed, 13-1 14-4 15-3
dithered, 11-1
dithering, 9-1 10-5 11-7 12-1
dithers, 11-1
ditties, 13-1 16-1
ditty, 8-1
diurnal, 14-1 15-3 16-1
divan, 16-1
dive, 2-1
divers, 7-2
diverse, 12-1 14-1 16-1
diversity, 9-2 12-1
diverted, 6-1 15-1
divide, 7-1 14-1 15-4 16-1
divided, 10-1 11-1 14-5 15-1 16-4
divides, 13-1 14-1
dividing, 15-1
dividual, 15-1 16-1
divine, 13-7 14-14 15-16 16-8
divined, 16-1
divinely, 15-3 16-1
divinity, 15-1
divisible, 14-1
division, 10-5 12-10
divisions, 10-2 11-1
divulge, 15-1
divulged, 15-1
dizzy, 13-1
do, 1-31 2-32 3-9 4-9 5-27 6-28 7-36 8-31 9-40 10-18 11-38 12-22 13-14 14-12 15-10 16-5
doctoral, 11-1
doctrine, 14-1 16-1
document, 9-5 10-12 11-48 12-18
documentary, 9-1 10-1
documentation, 9-3 11-1
documented, 9-1
documenting, 9-1
documents, 9-7 10-34 11-16 12-17
docutech, 10-4 12-1
dodged, 2-1
dodo, 1-13
dodona, 13-1
doe, 6-1
does, 1-2 2-4 3-1 4-2 7-1 9-6 10-19 11-34 12-8
doesnt, 1-7 2-4 3-3 4-2
dog, 1-1 2-1 5-3 6-1
dogs, 1-3 2-1 16-1
doing, 1-1 2-1 3-2 4-1 6-1 9-3 10-3 11-1 12-2 13-3 16-1
doings, 14-1 16-2
dole, 5-1 14-1
doleful, 13-1
dollar, 12-1
dollars, 10-1
dolorous, 13-1 14-1
dolphins, 15-1
domain, 9-1 10-2 11-13 13-1
domains, 11-1
domestick, 14-1 15-1 16-1
dominated, 12-1
dominations, 13-1 14-3 16-2
dominick, 13-1
dominion, 13-2 14-4 15-3 16-4
dominions, 5-1 13-2
donald, 9-2 10-1 12-3
donation, 16-1
done, 1-2 2-2 3-4 4-7 5-1 6-1 7-1 8-1 9-14 10-10 11-9 12-2 13-2 14-4 15-14 16-9
dont, 1-11 2-16 3-23 4-11 13-2
doolittle, 12-1
doom, 5-1 13-8 14-5 15-3 16-11
doomed, 13-2 14-2 16-1
door, 1-16 2-10 3-2 4-2 5-1 13-1 14-2 16-4
doors, 1-2 6-2 7-1 13-3 14-1 15-1 16-1
doorway, 1-1
dorado, 16-1
dorian, 13-1
doric, 13-2
dormouse, 2-5 3-21 4-13
dormouses, 3-1
dorothy, 9-2 10-1 12-3
dos, 12-1 13-1
dost, 5-2 6-3 8-1 13-1 14-1 15-1
dot, 10-1
dotes, 5-1
doth, 1-2 2-1 5-5 6-7 7-4 8-9 13-1 14-2 16-2
dothan, 16-1
dots, 9-1 10-3 11-1 12-2
double, 3-1 9-2 11-5 13-1 14-2 15-1 16-5
doubled, 3-1 13-2 14-2
doubles, 9-1 11-1
doublet, 6-2 7-2
doubling, 2-1
doubt, 2-4 8-1 11-1 13-2 14-9 15-11 16-7
doubted, 12-1 13-1
doubtful, 3-2 13-4 14-2
doubtfully, 2-1 3-1
doubting, 14-1
doubtless, 13-1 15-1
doubts, 8-1 9-1 15-1
dove, 13-1 16-1
dower, 14-1
down, 1-49 2-21 3-13 4-19 5-3 6-5 7-3 8-1 9-5 10-10 11-2 13-24 14-21 15-13 16-33
downcast, 13-1
downfall, 13-1
download, 9-2 10-3
downloaded, 10-1
downloading, 10-1
downright, 7-1 10-1
downs, 14-1
downward, 1-1 13-3 14-1 15-2
downwards, 4-1
downy, 14-2 15-2
dowry, 7-1
doze, 3-1
dozing, 1-1
dpi, 10-10 11-1 12-3
dr, 13-1
draff, 16-1
drafts, 9-1 11-2
drag, 14-2 16-1
dragged, 14-1
draggled, 1-1
dragon, 14-1 16-2
drained, 13-1 15-1 16-1
drama, 10-1 11-1
dramatic, 10-1
dramatically, 9-1 11-1
dramatis, 5-1
draughts, 14-1
drave, 7-1
draw, 2-1 3-6 8-2 9-5 10-1 11-1 13-3 14-3 15-7 16-2
drawest, 14-1
drawing, 3-1 9-1 12-1
drawings, 9-1 10-4 12-3
drawling, 3-3
drawn, 6-2 8-1 9-2 11-1 12-1 13-5 14-2 15-1 16-3
draws, 10-1 15-1 16-2
dread, 13-9 14-3 15-2 16-3
dreaded, 13-4 14-2 15-1
dreadful, 2-1 4-1 13-7 14-4 15-2 16-7
dreadfully, 2-2 3-3 4-1
dreadless, 14-1
dream, 1-1 4-6 5-1 13-1 14-4 15-5 16-2
dreamed, 4-1 13-1 14-2
dreaming, 4-1 13-1
dreams, 13-1 14-2 15-1 16-2
dreamy, 1-1
drear, 16-1
dreary, 13-2
dregs, 15-1
drench, 13-1
drenched, 16-1
dress, 15-1 16-2
dressed, 1-1
drew, 2-2 3-2 4-1 6-1 9-3 10-1 11-4 13-6 14-3 15-7 16-3
dried, 1-1 15-1
driest, 1-1
drink, 1-5 2-2 6-2 8-2 14-2 15-2 16-1
drinkest, 16-1
drinking, 3-1 12-1
drinks, 13-1 14-1 16-1
dripping, 1-1
drive, 2-1 3-1 10-2 11-1 12-2 13-4 14-3 15-1 16-3
driven, 8-1 11-1 13-5 14-1 15-4 16-5
driver, 11-1
drives, 11-1 14-1 16-1
driving, 9-1 11-1 12-2
drizzling, 14-1
drone, 15-1
droop, 16-1
drooping, 13-1 14-1 15-1
drop, 1-1 8-1 12-1 13-2 16-1
dropout, 11-1
dropped, 1-3 2-1 4-1 7-1 13-1
dropping, 4-1 14-1 15-1
drops, 6-1 7-2 13-1 14-3 15-2 16-1
dropsies, 16-1
dropt, 13-1 15-3 16-1
dross, 13-1
drossiest, 14-1
drouse, 16-1
droused, 15-1
drouth, 15-1
drove, 9-1 13-1 14-1 15-2 16-3
drovest, 13-1
drown, 16-1
drowned, 1-1 7-2 15-1 16-2
drudge, 13-1
drudgery, 9-1
drugged, 16-1
drugs, 13-1
drums, 13-1
drunk, 1-2
drunkards, 7-1
drury, 9-1
dry, 1-7 4-1 6-1 8-2 13-4 15-5 16-6
dryad, 15-1
dtd, 11-2 12-1
dtds, 10-1 11-6
dual, 10-1
dubious, 13-2
dublin, 12-1
ducdame, 6-4
duchess, 1-4 2-14 3-20
duchesss, 3-1 4-2
duck, 1-3 4-1
due, 11-2 13-8 14-6 15-5 16-11
duel, 16-1
dugs, 6-1
duke, 5-46 6-27 7-3 8-22
dukedom, 5-1 8-1
dukes, 5-6 8-1
dulcet, 8-1 13-1 14-1
dulcimer, 15-1
dull, 1-1 3-1 4-1 5-1 6-2
dulness, 5-1
duly, 14-1
dumb, 15-1
dump, 11-1
dun, 13-1
dunce, 4-1
dungeon, 13-3 16-2
dunghills, 5-1
duplicate, 10-1
duplicated, 11-1
duplication, 9-1 11-1 12-1
durability, 9-1 11-1
durable, 11-1 14-1 16-1
durance, 14-1
during, 9-8 10-11 11-10 12-4 13-1 15-1
durst, 8-2 13-6 14-3 15-1 16-1
dusk, 16-1
dusky, 13-2 14-3
dust, 14-2 15-4 16-10
dutchess, 3-1
duteous, 15-1
duties, 11-2
duty, 5-1 6-1 8-1 13-1 16-1
dwarfs, 13-1
dwaters, 12-2
dwell, 7-2 13-8 14-6 15-8 16-18
dwellest, 15-1
dwelling, 5-1 7-1 13-1 14-2 15-2
dwellings, 15-2 16-1
dwells, 8-1 13-3 15-1 16-1
dwelt, 13-3 14-1 15-1
dyed, 8-1 16-1
dying, 13-3 16-2
dynabook, 12-1
dynamic, 10-4 11-1
dynamics, 12-1
dynatext, 9-2
e, 4-6 9-13 10-18 11-11 12-30
each, 2-4 3-1 4-3 8-1 9-6 10-13 11-6 12-10 13-20 14-32 15-38 16-20
eager, 3-1 4-2 10-1 14-1 15-1
eagerly, 1-3 3-2 4-3 13-1
eagle, 15-2
eagles, 14-1
eaglet, 1-3
ear, 2-4 3-2 7-1 13-6 14-7 15-7 16-6
earlier, 9-5 10-6 11-1 12-2
earliest, 6-1 14-2
earls, 1-2
early, 6-1 9-4 10-2 11-3 12-1 13-1 15-3 16-1
earn, 6-1 13-1 16-2
earned, 16-1
earnest, 5-2 7-1 8-1 13-1 15-1 16-1
earnestly, 1-1 3-1 15-1
ears, 1-2 2-1 3-2 7-1 14-2 15-4 16-2
earth, 1-2 2-1 3-1 5-1 10-2 13-33 14-46 15-78 16-50
earthly, 8-1 14-2 15-8 16-1
earthquakes, 6-1
earths, 13-1 14-2 15-5 16-2
ease, 6-2 11-1 13-10 14-7 15-5 16-4
eased, 14-1 16-1
easier, 9-2 10-1 11-3 13-2 14-3 15-2 16-1
easiest, 11-1 14-1 15-1 16-2
easily, 1-1 2-2 7-1 9-2 10-1 11-2 12-1 13-3 14-1 15-2 16-3
easing, 15-1 16-1
east, 6-1 13-1 14-7 15-7 16-4
eastern, 13-2 14-3 16-4
eastward, 14-2 16-2
easy, 1-1 3-1 7-1 9-1 10-1 11-6 12-2 13-4 14-6 15-4 16-3
eat, 1-10 2-8 5-2 6-4 8-3 14-1 15-12 16-11
eaten, 1-1 7-2 15-2 16-2
eatest, 15-2 16-1
eating, 3-1 15-2
eats, 1-1 6-1 15-1
ebb, 6-1 16-1
ebbing, 15-1
ecbatan, 16-1
eccentrick, 13-1 14-1 15-1
echo, 16-1
echoed, 9-1 14-1
echoes, 9-1
echoing, 9-1 14-1 15-1
eclipse, 13-1 16-1
eclipsed, 14-1 16-1
eclipses, 13-1
ecliptick, 14-1
economic, 9-1 10-2 11-8 12-3
economical, 10-1
economically, 12-1
economics, 10-1 11-1
economies, 12-1
ecumenical, 9-1
eden, 13-1 14-10 15-8 16-5
edens, 14-1
edgar, 1-1
edge, 2-2 4-1 10-1 11-5 12-1 13-2 14-3
edged, 10-2 11-2
edict, 14-1
edifice, 15-1
edify, 16-1
edisons, 9-1
